"ITP","ITI","ITI_factor","Ultimate","Delta","Censored"
143407.20497,340780.70062,5268923.85269476,364755.28,0,1
101142.7271,350873.73314,57895416.6579297,378145.04,0,1
417718.75127,545790.81158,90057429.3826824,588211.85,0,1
2176.02479,234282.5986,38657463.8695951,252491.98,0,1
293436.25867,916438.99893,151215701.471327,987668.3,0,1
125277.44231,200978.47076,33162164.0633927,216599.32,0,1
217954.20126,217954.20126,217954.20126,217954.2,1,0
65224.63237,334706.82695,55227819.5096238,360721.58,0,1
52876.03383,246063.24099,40601311.8560586,265188.26,0,1
161723.80469,193028.45315,31850382.8198957,208031.4,0,1
227946.1239,227946.1239,227946.1239,227946.12,1,0
104142.63046,214686.05837,35423964.8797546,231372.32,0,1
244790.47177,244790.47177,244790.47177,244790.47,1,0
177580.0457,178553.0983,29461897.6722265,192430.96,0,1
74458.36776,82642.41068,13636292.3411689,89065.71,0,1
139340.85787,139340.85787,139340.85787,198992.68,1,0
266115.51471,1001198.58593,165201335.451973,1079015.74,0,1
270811.07513,270811.07513,270811.07513,270811.08,1,0
12163.84172,106222.85542,17527149.7757916,114478.92,0,1
81751.47223,81751.47223,81751.47223,81751.47,1,0
1338624.75958,1338624.75958,1338624.75958,1338624.76,1,0
503965.97283,503965.97283,503965.97283,503965.97,1,0
61654.03572,329157.27945,54312124.3907552,354740.7,0,1
105333.28553,114764.09486,18936484.7286495,123684.02,0,1
150349.62731,150349.62731,150349.62731,150349.63,1,0
24201.77509,328062.42421,54131469.3735425,353560.75,0,1
96083.12732,96083.12732,96083.12732,96083.13,1,0
22367.89256,514918.63094,84963409.5331586,554940.16,0,1
148107.9112,316268.09613,52185363.1994463,340849.72,0,1
173441.4929,308803.92053,50953747.6193837,332805.39,0,1
95053.9634,95053.9634,95053.9634,96852.26,1,0
219452.78437,219452.78437,219452.78437,219452.78,1,0
91568.21802,234333.23566,38665819.1649909,252546.55,0,1
163806.76678,163806.76678,163806.76678,163806.77,1,0
435110.52676,923733.47197,152419315.524085,995529.73,0,1
77994.75018,77994.75018,77994.75018,77994.75,1,0
16093.00346,16093.00346,16093.00346,16093,1,0
137023.87046,219398.04161,36201458.9102244,236450.53,0,1
247426.33576,247426.33576,247426.33576,247426.34,1,0
88947.40829,419849.61328,69276682.7456346,452482,0,1
99590.7698,354373.1642,58472835.2565558,381916.46,0,1
28180.20532,28180.20532,28180.20532,28180.21,1,0
11240.05761,11240.05761,11240.05761,11475.45,1,0
22744.24905,47691.89427,7869332.55236257,51398.7,0,1
66556.25006,386426.41993,63761736.7058731,416461.02,0,1
20762.56106,20762.56106,20762.56106,20762.56,1,0
97789.73293,97789.73293,97789.73293,97789.73,1,0
264916.64823,266895.59907,44038725.1962232,287639.79,0,1
189270.36253,189270.36253,189270.36253,189270.36,1,0
184134.12289,1059372.35055,174800213.974725,1141711,0,1
245443.27921,245443.27921,245443.27921,245443.28,1,0
266673.89089,1491014.92335,246022777.077178,1606902.56,0,1
66965.45221,566099.00772,93408354.1343711,610098.48,0,1
118015.81492,120194.57685,19832533.6139589,129536.58,0,1
138655.20477,138655.20477,138655.20477,138655.2,1,0
495959.84388,495959.84388,495959.84388,495959.84,1,0
999259.32358,1922646.54758,317243533.626554,2072082.32,0,1
213682.89725,393207.67958,64880668.719931,423769.35,0,1
552932.00488,552932.00488,552932.00488,552932,1,0
206975.54034,206975.54034,206975.54034,207372.43,1,0
141598.9968,486236.16078,80230699.7180604,524028.38,0,1
39292.98601,39292.98601,39292.98601,39292.99,1,0
96963.11722,517432.69228,85378238.6156332,557649.63,0,1
76945.05772,244136.29576,40283359.02451,263111.54,0,1
58971.64038,592907.90685,97831918.0511732,638991.08,0,1
10136.99096,32558.25771,5372228.57609746,35088.82,0,1
2605.75547,2605.75547,2605.75547,2605.76,1,0
90997.99847,975272.57175,194146357.319186,1065955.24,0,1
126026.7865,828892.26842,165006603.471908,905964.22,0,1
117040.28838,229815.64186,45749128.0022657,251184.33,0,1
186376.73382,186376.73382,186376.73382,186376.73,1,0
87054.15092,356170.09537,70902359.6121783,389287.46,0,1
130737.82227,172821.32057,34403335.8751707,188890.57,0,1
204278.66975,826209.08353,164472465.02949,903031.55,0,1
47301.1678,144490.62529,28763577.8749408,157925.63,0,1
8470.65286,364738.12718,72607987.5704439,398652.16,0,1
79330.94731,79330.94731,79330.94731,79330.95,1,0
102074.19625,583385.45603,116133852.711537,637629.73,0,1
46980.08045,234592.47422,46700046.3701987,256405.32,0,1
48978.98082,197783.23049,39372473.7583387,216173.49,0,1
132693.29689,132693.29689,132693.29689,132693.3,1,0
7704.78057,7704.78057,7704.78057,7704.78,1,0
137281.95101,510668.38184,101658150.761297,558151.28,0,1
241303.72629,259930.74063,51744105.0946818,284099.59,0,1
66274.2722,320585.98413,63818672.6760326,350394.67,0,1
77937.37556,275182.38995,54780232.8853715,300769.36,0,1
22395.84295,60151.24163,11974236.5252165,65744.22,0,1
82499.71104,358111.09474,71288752.0609767,391408.93,0,1
259920.21317,390615.92562,77759450.2979879,426936.13,0,1
127554.58329,127554.58329,127554.58329,127554.58,1,0
206186.77083,206186.77083,206186.77083,206186.77,1,0
